FIPS County Code,avg_prem,id,county
1001,24.58,1001,Autauga AL
1003,24.66,1003,Baldwin AL
1005,24.66,1005,Barbour AL
1007,24.88,1007,Bibb AL
1009,24.88,1009,Blount AL
1011,24.66,1011,Bullock AL
1013,24.66,1013,Butler AL
1015,24.28,1015,Calhoun AL
1017,24.66,1017,Chambers AL
1019,24.66,1019,Cherokee AL
1021,24.88,1021,Chilton AL
1023,24.66,1023,Choctaw AL
1025,24.66,1025,Clarke AL
1027,24.66,1027,Clay AL
1029,24.66,1029,Cleburne AL
1031,24.66,1031,Coffee AL
1033,24.78,1033,Colbert AL
1035,24.66,1035,Conecuh AL
1037,24.66,1037,Coosa AL
1039,24.66,1039,Covington AL
1041,24.66,1041,Crenshaw AL
1043,24.66,1043,Cullman AL
1045,24.66,1045,Dale AL
1047,24.66,1047,Dallas AL
1049,24.66,1049,De Kalb AL
1051,24.58,1051,Elmore AL
1053,24.66,1053,Escambia AL
1055,24.7,1055,Etowah AL
1057,24.66,1057,Fayette AL
1059,24.66,1059,Franklin AL
1061,24.28,1061,Geneva AL
1063,24.77,1063,Greene AL
1065,24.77,1065,Hale AL
1067,24.28,1067,Henry AL
1069,24.28,1069,Houston AL
1071,24.66,1071,Jackson AL
1073,24.88,1073,Jefferson AL
1075,24.66,1075,Lamar AL
1077,24.78,1077,Lauderdale AL
1079,24.78,1079,Lawrence AL
1081,24.28,1081,Lee AL
1083,24.83,1083,Limestone AL
1085,24.58,1085,Lowndes AL
1087,24.66,1087,Macon AL
1089,24.83,1089,Madison AL
1091,24.66,1091,Marengo AL
1093,24.66,1093,Marion AL
1095,24.66,1095,Marshall AL
1097,24.92,1097,Mobile AL
1099,24.66,1099,Monroe AL
1101,24.58,1101,Montgomery AL
1103,24.78,1103,Morgan AL
1105,24.66,1105,Perry AL
1107,24.66,1107,Pickens AL
1109,24.66,1109,Pike AL
1111,24.66,1111,Randolph AL
1113,24.28,1113,Russell AL
1115,24.88,1115,Saint Clair AL
1117,24.88,1117,Shelby AL
1119,24.66,1119,Sumter AL
1121,24.66,1121,Talladega AL
1123,24.66,1123,Tallapoosa AL
1125,24.77,1125,Tuscaloosa AL
1127,24.88,1127,Walker AL
1129,24.66,1129,Washington AL
1131,24.66,1131,Wilcox AL
1133,24.66,1133,Winston AL
2013,52.54,2013,Aleutians East AK
2016,52.54,2016,Aleutians West AK
2020,48.67,2020,Anchorage AK
2050,52.54,2050,Bethel AK
2060,52.54,2060,Bristol Bay AK
2068,52.54,2068,Denali AK
2070,52.54,2070,Dillingham AK
2090,52.54,2090,Fairbanks North Star AK
2100,51.75,2100,Haines AK
2105,51.75,2105,Hoonah Angoon AK
2110,51.75,2110,Juneau AK
2122,52.54,2122,Kenai Peninsula AK
2130,51.75,2130,Ketchikan Gateway AK
2150,52.54,2150,Kodiak Island AK
2164,52.54,2164,Lake And Peninsula AK
2170,48.67,2170,Matanuska Susitna AK
2180,52.54,2180,Nome AK
2185,52.54,2185,North Slope AK
2188,52.54,2188,Northwest Arctic AK
2195,51.75,2195,Petersburg AK
2198,51.75,2198,Prince Of Wales Hyder AK
2220,51.75,2220,Sitka AK
2230,51.75,2230,Skagway AK
2240,52.54,2240,Southeast Fairbanks AK
2261,52.54,2261,Valdez Cordova AK
2270,52.54,2270,Wade Hampton AK
2275,51.75,2275,Wrangell AK
2282,52.54,2282,Yakutat AK
2290,52.54,2290,Yukon Koyukuk AK
4001,29.83,4001,Apache AZ
4003,29.98,4003,Cochise AZ
4005,29.83,4005,Coconino AZ
4007,29.43,4007,Gila AZ
4009,29.98,4009,Graham AZ
4011,29.98,4011,Greenlee AZ
4012,30.08,4012,La Paz AZ
4013,30.76,4013,Maricopa AZ
4015,29.78,4015,Mohave AZ
4017,29.83,4017,Navajo AZ
4019,30.23,4019,Pima AZ
4021,29.43,4021,Pinal AZ
4023,30.23,4023,Santa Cruz AZ
4025,29.16,4025,Yavapai AZ
4027,30.08,4027,Yuma AZ
5001,26.26,5001,Arkansas AR
5003,26.26,5003,Ashley AR
5005,28.3,5005,Baxter AR
5007,28.3,5007,Benton AR
5009,28.3,5009,Boone AR
5011,26.26,5011,Bradley AR
5013,26.26,5013,Calhoun AR
5015,28.3,5015,Carroll AR
5017,26.26,5017,Chicot AR
5019,27.06,5019,Clark AR
5021,27.69,5021,Clay AR
5023,28.05,5023,Cleburne AR
5025,26.26,5025,Cleveland AR
5027,26.26,5027,Columbia AR
5029,28.05,5029,Conway AR
5031,27.69,5031,Craighead AR
5033,27.11,5033,Crawford AR
5035,27.69,5035,Crittenden AR
5037,27.69,5037,Cross AR
5039,26.26,5039,Dallas AR
5041,26.26,5041,Desha AR
5043,26.26,5043,Drew AR
5045,28.05,5045,Faulkner AR
5047,27.11,5047,Franklin AR
5049,27.69,5049,Fulton AR
5051,27.06,5051,Garland AR
5053,28.05,5053,Grant AR
5055,27.69,5055,Greene AR
5057,26.26,5057,Hempstead AR
5059,27.06,5059,Hot Spring AR
5061,26.26,5061,Howard AR
5063,27.69,5063,Independence AR
5065,27.69,5065,Izard AR
5067,27.69,5067,Jackson AR
5069,26.26,5069,Jefferson AR
5071,27.11,5071,Johnson AR
5073,26.26,5073,Lafayette AR
5075,27.69,5075,Lawrence AR
5077,26.26,5077,Lee AR
5079,26.26,5079,Lincoln AR
5081,26.26,5081,Little River AR
5083,27.11,5083,Logan AR
5085,28.05,5085,Lonoke AR
5087,28.3,5087,Madison AR
5089,28.3,5089,Marion AR
5091,26.26,5091,Miller AR
5093,27.69,5093,Mississippi AR
5095,26.26,5095,Monroe AR
5097,27.06,5097,Montgomery AR
5099,26.26,5099,Nevada AR
5101,28.3,5101,Newton AR
5103,26.26,5103,Ouachita AR
5105,28.05,5105,Perry AR
5107,26.26,5107,Phillips AR
5109,27.06,5109,Pike AR
5111,27.69,5111,Poinsett AR
5113,27.11,5113,Polk AR
5115,28.05,5115,Pope AR
5117,28.05,5117,Prairie AR
5119,28.05,5119,Pulaski AR
5121,27.69,5121,Randolph AR
5123,27.69,5123,Saint Francis AR
5125,28.05,5125,Saline AR
5127,27.11,5127,Scott AR
5129,28.3,5129,Searcy AR
5131,27.11,5131,Sebastian AR
5133,26.26,5133,Sevier AR
5135,27.69,5135,Sharp AR
5137,27.69,5137,Stone AR
5139,26.26,5139,Union AR
5141,28.05,5141,Van Buren AR
5143,28.3,5143,Washington AR
5145,28.05,5145,White AR
5147,27.69,5147,Woodruff AR
5149,28.05,5149,Yell AR
10001,26.88,10001,Kent DE
10003,26.88,10003,New Castle DE
10005,26.88,10005,Sussex DE
12001,23.32,12001,Alachua FL
12003,23.93,12003,Baker FL
12005,24.1,12005,Bay FL
12007,23.84,12007,Bradford FL
12009,23.56,12009,Brevard FL
12011,24.1,12011,Broward FL
12013,24.1,12013,Calhoun FL
12015,23.36,12015,Charlotte FL
12017,22.77,12017,Citrus FL
12019,23.02,12019,Clay FL
12021,23.73,12021,Collier FL
12023,23.84,12023,Columbia FL
12027,23.8,12027,De Soto FL
12029,24.16,12029,Dixie FL
12031,23.35,12031,Duval FL
12033,24.29,12033,Escambia FL
12035,23.36,12035,Flagler FL
12037,24.17,12037,Franklin FL
12039,23.72,12039,Gadsden FL
12041,24.3,12041,Gilchrist FL
12043,24.41,12043,Glades FL
12045,24.32,12045,Gulf FL
12047,24.25,12047,Hamilton FL
12049,23.0,12049,Hardee FL
12051,24.55,12051,Hendry FL
12053,23.19,12053,Hernando FL
12055,23.59,12055,Highlands FL
12057,22.88,12057,Hillsborough FL
12059,24.1,12059,Holmes FL
12061,23.59,12061,Indian River FL
12063,24.1,12063,Jackson FL
12065,24.34,12065,Jefferson FL
12067,24.1,12067,Lafayette FL
12069,23.06,12069,Lake FL
12071,23.36,12071,Lee FL
12073,23.29,12073,Leon FL
12075,24.16,12075,Levy FL
12077,24.17,12077,Liberty FL
12079,24.32,12079,Madison FL
12081,23.29,12081,Manatee FL
12083,22.83,12083,Marion FL
12085,23.78,12085,Martin FL
12086,25.03,12086,Miami-Dade FL
12087,25.6,12087,Monroe FL
12089,23.02,12089,Nassau FL
12091,24.29,12091,Okaloosa FL
12093,24.63,12093,Okeechobee FL
12095,22.82,12095,Orange FL
12097,22.82,12097,Osceola FL
12099,24.0,12099,Palm Beach FL
12101,23.16,12101,Pasco FL
12103,22.88,12103,Pinellas FL
12105,22.36,12105,Polk FL
12107,23.75,12107,Putnam FL
12109,23.56,12109,Saint Johns FL
12111,24.08,12111,Saint Lucie FL
12113,24.29,12113,Santa Rosa FL
12115,23.29,12115,Sarasota FL
12117,22.82,12117,Seminole FL
12119,23.95,12119,Sumter FL
12121,24.43,12121,Suwannee FL
12123,24.17,12123,Taylor FL
12125,23.84,12125,Union FL
12127,22.98,12127,Volusia FL
12129,24.32,12129,Wakulla FL
12131,24.19,12131,Walton FL
12133,24.1,12133,Washington FL
13001,27.94,13001,Appling GA
13003,28.3,13003,Atkinson GA
13005,27.83,13005,Bacon GA
13007,27.82,13007,Baker GA
13009,27.9,13009,Baldwin GA
13011,28.61,13011,Banks GA
13013,28.41,13013,Barrow GA
13015,30.07,13015,Bartow GA
13017,28.14,13017,Ben Hill GA
13019,28.14,13019,Berrien GA
13021,27.83,13021,Bibb GA
13023,28.06,13023,Bleckley GA
13025,27.83,13025,Brantley GA
13027,28.14,13027,Brooks GA
13029,27.94,13029,Bryan GA
13031,27.94,13031,Bulloch GA
13033,28.09,13033,Burke GA
13035,30.07,13035,Butts GA
13037,27.82,13037,Calhoun GA
13039,27.83,13039,Camden GA
13043,27.94,13043,Candler GA
13045,29.84,13045,Carroll GA
13047,27.46,13047,Catoosa GA
13049,27.83,13049,Charlton GA
13051,27.94,13051,Chatham GA
13053,28.23,13053,Chattahoochee GA
13055,29.02,13055,Chattooga GA
13057,30.07,13057,Cherokee GA
13059,28.41,13059,Clarke GA
13061,27.82,13061,Clay GA
13063,30.07,13063,Clayton GA
13065,27.81,13065,Clinch GA
13067,30.07,13067,Cobb GA
13069,28.3,13069,Coffee GA
13071,28.14,13071,Colquitt GA
13073,28.09,13073,Columbia GA
13075,28.14,13075,Cook GA
13077,30.07,13077,Coweta GA
13079,27.83,13079,Crawford GA
13081,28.14,13081,Crisp GA
13083,27.46,13083,Dade GA
13085,28.61,13085,Dawson GA
13087,27.81,13087,Decatur GA
13089,30.07,13089,Dekalb GA
13091,28.06,13091,Dodge GA
13093,28.06,13093,Dooly GA
13095,28.14,13095,Dougherty GA
13097,30.07,13097,Douglas GA
13099,27.81,13099,Early GA
13101,27.81,13101,Echols GA
13103,27.94,13103,Effingham GA
13105,28.5,13105,Elbert GA
13107,28.09,13107,Emanuel GA
13109,27.94,13109,Evans GA
13111,27.8,13111,Fannin GA
13113,30.07,13113,Fayette GA
13115,29.02,13115,Floyd GA
13117,30.07,13117,Forsyth GA
13119,28.61,13119,Franklin GA
13121,30.07,13121,Fulton GA
13123,29.02,13123,Gilmer GA
13125,28.09,13125,Glascock GA
13127,27.83,13127,Glynn GA
13129,29.02,13129,Gordon GA
13131,28.14,13131,Grady GA
13133,28.41,13133,Greene GA
13135,30.07,13135,Gwinnett GA
13137,28.61,13137,Habersham GA
13139,28.61,13139,Hall GA
13141,27.9,13141,Hancock GA
13143,29.84,13143,Haralson GA
13145,28.23,13145,Harris GA
13147,28.61,13147,Hart GA
13149,29.84,13149,Heard GA
13151,30.07,13151,Henry GA
13153,27.83,13153,Houston GA
13155,28.14,13155,Irwin GA
13157,28.41,13157,Jackson GA
13159,30.07,13159,Jasper GA
13161,27.88,13161,Jeff Davis GA
13163,28.09,13163,Jefferson GA
13165,28.09,13165,Jenkins GA
13167,27.88,13167,Johnson GA
13169,27.83,13169,Jones GA
13171,30.07,13171,Lamar GA
13173,28.14,13173,Lanier GA
13175,28.3,13175,Laurens GA
13177,28.14,13177,Lee GA
13179,27.94,13179,Liberty GA
13181,28.09,13181,Lincoln GA
13183,27.94,13183,Long GA
13185,28.14,13185,Lowndes GA
13187,28.61,13187,Lumpkin GA
13189,28.09,13189,Mcduffie GA
13191,27.83,13191,Mcintosh GA
13193,28.23,13193,Macon GA
13195,28.41,13195,Madison GA
13197,28.23,13197,Marion GA
13199,28.23,13199,Meriwether GA
13201,27.81,13201,Miller GA
13205,28.14,13205,Mitchell GA
13207,27.83,13207,Monroe GA
13209,27.88,13209,Montgomery GA
13211,28.41,13211,Morgan GA
13213,27.8,13213,Murray GA
13215,28.23,13215,Muscogee GA
13217,30.07,13217,Newton GA
13219,28.41,13219,Oconee GA
13221,28.41,13221,Oglethorpe GA
13223,30.07,13223,Paulding GA
13225,27.83,13225,Peach GA
13227,29.02,13227,Pickens GA
13229,27.83,13229,Pierce GA
13231,30.07,13231,Pike GA
13233,29.02,13233,Polk GA
13235,28.06,13235,Pulaski GA
13237,27.83,13237,Putnam GA
13239,28.23,13239,Quitman GA
13241,28.61,13241,Rabun GA
13243,27.82,13243,Randolph GA
13245,28.09,13245,Richmond GA
13247,30.07,13247,Rockdale GA
13249,27.82,13249,Schley GA
13251,27.94,13251,Screven GA
