Rank,Player,Team,Conference,Completions,Attempts,CompletionPct,Yards,YPA,Long,TDs,INTs,SacksTaken,QBRating
1,"Dwayne Haskins, QB",OSU,Big10,373,533,70,4831,9.1,78,50,8,20,174.1
2,"Gardner Minshew, QB",WSU,Pac12,468,662,70.7,4779,7.2,89,38,9,13,147.6
3,"Kyler Murray, QB",OKLA,Big12,260,377,69,4361,11.6,86,42,7,18,199.2
4,"Taylor Cornelius, QB",OKST,Big12,288,485,59.4,3978,8.2,64,32,13,32,144.7
5,"Tua Tagovailoa, QB",ALA,SEC,245,355,69,3966,11.2,81,43,6,13,199.5
6,"Ryan Finley, QB",NCST,ACC,326,484,67.4,3928,8.1,74,25,11,11,148
7,"Jordan Ta'amu, QB",MISS,SEC,266,418,63.6,3918,9.4,84,19,8,29,153.5
8,"Cole McDonald, QB",HAW,,285,484,58.9,3875,8,80,36,10,34,146.5
9,"Will Grier, QB",WVU,Big12,266,397,67,3864,9.7,82,37,8,24,175.5
10,"Mason Fine, QB",UNT,,303,469,64.6,3793,8.1,68,27,5,24,149.4
11,"David Blough, QB",PUR,Big10,305,462,66,3705,8,82,25,10,28,146.9
12,"Brett Rypien, QB",BSU,,301,447,67.3,3705,8.3,74,30,7,32,156
13,"Marcus McMaryion, QB",FRES,,293,427,68.6,3629,8.5,86,25,5,12,157
14,"Jordan Love, QB",USU,,267,417,64,3567,8.6,88,32,6,9,158.3
15,"Brent Stockstill, QB",MTSU,,326,464,70.3,3544,7.6,70,29,10,39,150.7
16,"K.J. Costello, QB",STAN,Pac12,269,413,65.1,3540,8.6,80,29,11,23,155
17,"Drew Lock, QB",MIZ,SEC,275,437,62.9,3498,8,86,28,8,13,147.7
18,"Justice Hansen, QB",ARKST,,286,434,65.9,3447,7.9,78,27,9,23,149
19,"Ty Gangi, QB",NEV,,268,443,60.5,3331,7.5,58,24,13,12,135.7
20,"Brady White, QB",MEM,,246,392,62.8,3296,8.4,75,26,9,24,150.7
21,"Sam Ehlinger, QB",TEX,Big12,275,425,64.7,3292,7.7,48,25,5,26,146.8
22,"Trevor Lawrence, QB",CLEM,ACC,259,397,65.2,3280,8.3,74,30,4,11,157.6
23,"Jake Browning, QB",WASH,Pac12,252,388,64.9,3192,8.2,59,16,10,23,142.5
24,"Clayton Thorson, QB",NW,Big10,299,489,61.1,3183,6.5,77,17,15,35,121.2
25,"Jake Bentley, QB",SC,SEC,240,388,61.9,3171,8.2,89,27,14,20,146.3
26,"J'Mar Smith, QB",LT,,264,461,57.3,3160,6.9,67,15,10,32,121.2
27,"Justin Herbert, QB",ORE,Pac12,240,404,59.4,3151,7.8,83,29,8,21,144.7
28,"Tyree Jackson, QB",BUFF,,225,407,55.3,3131,7.7,75,28,12,15,136.7
29,"Kyle Shurmur, QB",VAN,SEC,254,406,62.6,3130,7.7,75,24,6,21,143.9
30,"Kellen Mond, QB",TA&M,SEC,238,415,57.3,3107,7.5,69,24,9,34,135
31,"Stephen Calvert, QB",LIB,,240,439,54.7,3068,7,66,21,18,20,121
32,"Manny Wilkins, QB",ASU,,247,393,62.9,3025,7.7,72,20,6,16,141.2
33,"Charlie Brewer, QB",BAY,Big12,240,390,61.5,3019,7.7,75,19,9,32,138
34,"Blake LaRussa, QB",ODU,,249,393,63.4,3015,7.7,83,19,10,29,138.7
35,"D'Eriq King, QB",HOU,,219,345,63.5,2982,8.6,79,36,6,14,167
36,"Joe Burrow, QB",LSU,SEC,219,379,57.8,2894,7.6,71,16,5,35,133.2
37,"Peyton Ramsey, QB",IND,Big10,295,447,66,2875,6.4,65,19,13,27,128.2
38,"Caleb Evans, QB",ULM,,231,374,61.8,2869,7.7,80,16,12,21,133.9
39,"Eric Dungey, QB",SYR,ACC,226,371,60.9,2868,7.7,82,18,9,25,137
40,"Nate Stanley, QB",IOWA,Big10,235,396,59.3,2852,7.2,75,26,10,15,136.5
41,"Steven Montez, QB",COLO,Pac12,258,399,64.7,2849,7.1,89,19,9,30,135.8
42,"Jarrett Stidham, QB",AUB,SEC,224,369,60.7,2794,7.6,76,18,5,23,137.7
43,"Jake Fromm, QB",UGA,SEC,206,306,67.3,2749,9,75,30,6,16,171.2
44,"Deondre Francois, QB",FSU,ACC,227,396,57.3,2731,6.9,78,15,12,29,121.7
45,"James Morgan, QB",FIU,,213,326,65.3,2727,8.4,76,26,7,10,157.6
46,"Ryan Willis, QB",VT,ACC,213,364,58.5,2716,7.5,67,24,9,22,138
47,"Blake Barnett, QB",USF,,214,350,61.1,2705,7.7,75,12,11,29,131.1
48,"Bryce Perkins, QB",UVA,ACC,225,349,64.5,2680,7.7,86,25,9,32,147.5
49,"Daniel Jones, QB",DUKE,ACC,237,392,60.5,2674,6.8,85,22,9,28,131.7
50,"JT Daniels, QB",USC,,216,363,59.5,2672,7.4,65,14,10,25,128.6
