Rank,Team,G,OppSTFL,OppATFL,OppTFL,OppTackleYds,OppTackleYdsAvg
1,Army West Point ,13,23,36,41,118,3.15
2,Washington St. ,13,36,22,47,171,3.62
3,Clemson ,15,45,22,56,215,3.73
4,FIU ,13,38,22,49,142,3.77
5,Fresno St. ,14,38,32,54,169,3.86
6,Missouri ,13,48,8,52,201,4
- ,Wisconsin ,13,42,20,52,224,4
8,Arizona ,12,44,10,49,232,4.08
9,Buffalo ,14,43,34,60,210,4.29
10,Florida ,13,42,28,56,202,4.31
11,Alabama ,15,44,42,65,254,4.33
12,Oklahoma ,14,46,30,61,203,4.36
13,Iowa ,13,38,42,59,197,4.54
- ,Ohio ,13,50,18,59,253,4.54
15,Michigan ,13,49,22,60,250,4.62
16,Georgia ,14,45,40,65,218,4.64
17,UCF ,13,51,20,61,219,4.69
- ,Marshall ,13,42,38,61,210,4.69
- ,Mississippi St. ,13,45,32,61,255,4.69
- ,Utah St. ,13,43,36,61,213,4.69
21,South Carolina ,13,51,22,62,264,4.77
- ,Appalachian St. ,13,42,40,62,187,4.77
23,Minnesota ,13,46,34,63,227,4.85
24,Air Force ,12,46,26,59,197,4.92
- ,Rutgers ,12,49,20,59,210,4.92
26,Cincinnati ,13,48,32,64,276,4.92
27,Miami (OH) ,12,48,24,60,178,5
28,Ohio St. ,14,57,28,71,221,5.07
29,Oregon ,13,51,30,66,239,5.08
- ,Georgia Tech ,13,55,22,66,210,5.08
31,La.-Monroe ,12,38,46,61,229,5.08
32,Western Mich. ,13,55,24,67,232,5.15
- ,Auburn ,13,55,24,67,310,5.15
34,Penn St. ,13,55,28,69,290,5.31
35,Indiana ,12,56,16,64,251,5.33
36,Texas ,14,64,22,75,313,5.36
37,Ga. Southern ,13,59,22,70,217,5.38
- ,Vanderbilt ,13,57,26,70,286,5.38
- ,Michigan St. ,13,56,28,70,303,5.38
40,Arkansas St. ,13,59,26,72,246,5.54
41,Southern California ,12,51,31,67,333,5.54
42,North Carolina ,11,39,44,61,203,5.55
43,UAB ,14,62,32,78,328,5.57
44,TCU ,13,62,22,73,275,5.62
- ,Miami (FL) ,13,50,46,73,294,5.62
- ,Duke ,13,58,30,73,248,5.62
47,Northwestern ,14,62,34,79,366,5.64
48,Ball St. ,12,51,34,68,295,5.67
49,Boise St. ,13,55,38,74,281,5.69
- ,Virginia ,13,54,40,74,305,5.69
51,Hawaii ,14,70,20,80,328,5.71
52,West Virginia ,12,61,16,69,301,5.75
53,Navy ,13,56,38,75,265,5.77
- ,Arizona St. ,13,59,32,75,224,5.77
55,Wyoming ,12,56,28,70,302,5.83
56,Stanford ,13,61,30,76,265,5.85
